,conf_larga_pct,conf_larga_pct,conf_estreita_pct,conf_estreita_pct,desvio_ideal,desvio_ideal,sobreaq_pct,sobreaq_pct,trocas_h,trocas_h,energia_kwh,energia_kwh,cenarios_estacionados_pct,cenarios_estacionados_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
variante,,,,,,,,,,,,,,
completa,86.5,0.0,83.67,0.29,0.85,0.05,5.17,0.0,0.91,0.25,11.09,0.43,0.0,0.0
sem_gradiente,76.11,11.03,47.72,13.67,1.46,0.22,13.78,12.2,0.65,0.3,9.86,0.69,3.7,6.42
sem_penal_troca,86.5,0.0,82.06,3.08,0.86,0.09,5.17,0.0,0.92,0.25,10.87,0.65,0.0,0.0
sem_short_cycling,86.5,0.0,83.67,0.29,0.84,0.02,5.17,0.0,0.91,0.18,10.53,0.37,0.0,0.0
sem_penal_frio,86.5,0.0,82.56,1.11,0.9,0.07,5.17,0.0,0.81,0.08,11.14,0.2,0.0,0.0
quadratica_pura,86.39,0.19,82.33,1.59,0.93,0.05,5.17,0.0,0.76,0.03,10.91,0.05,0.0,0.0
degraus_legado,81.28,9.05,69.11,21.75,1.1,0.43,9.94,8.28,1.0,0.27,10.76,0.73,0.0,0.0
convencional,86.5,0.0,83.11,1.25,0.92,0.07,5.17,0.0,0.96,0.11,10.23,0.41,0.0,0.0
