controlador,periodo,iae_transient,in_tolerance_ss_pct,temp_std_ss,abs_dev_ss,max_abs_dev_ss,iae_c_h,ise,itae,overshoot_c,settling_h,erro_regime_c,in_tolerance_pct,temp_std,max_abs_dev,p95_abs_dev,peak_cost_brl,peak_energy_kwh,comfort_wide_pct,comfort_narrow_pct,abs_dev_from_ideal,overheat_pct,violation_rate_pct,violation_degree_hours,shield_interventions,energy_kwh_day,cost_brl_day,changes_per_hour,changes_per_day,mean_temp,kpi_tdis_tot,kpi_idis_tot,kpi_ener_tot,kpi_cost_tot,kpi_emis_tot,kpi_pele_tot,kpi_pgas_tot,kpi_time_rat,externa_min,externa_max
Termostato zm=1 °C,peak_cool_day,49.35081183960703,,,,,49.35081183960703,169.67713655304192,440.3570481247744,2.670059435125836,,0.0536006480056479,27.666666666666668,2.361317751763066,6.797794592193895,6.467324469674785,0.0,0.0,73.66666666666667,48.66666666666667,1.6450270613202342,10.333333333333334,26.33333333333333,15.048849378994827,0.0,1.810095374870509,1.4480762998964074,1.2916666666666667,62.0,23.685883622321303,9.54292451956577,88.01878733377481,0.0415202725356762,0.0022674220321155,0.0274781158896562,0.0102075807739656,2.767409767552059e-10,1.451862355073293e-05,2.195989434523824,14.399999999999975
Termostato zm=0 (baseline),peak_cool_day,49.35081183960703,,,,,49.35081183960703,169.67713655304192,440.3570481247744,2.670059435125836,,0.0536006480056479,27.666666666666668,2.361317751763066,6.797794592193895,6.467324469674785,0.0,0.0,73.66666666666667,48.66666666666667,1.6450270613202342,10.333333333333334,26.33333333333333,15.048849378994827,0.0,1.810095374870509,1.4480762998964074,1.2916666666666667,62.0,23.685883622321303,9.54292451956577,88.01878733377481,0.0415202725356762,0.0022674220321155,0.0274781158896562,0.0102075807739656,2.767409767552059e-10,1.4104512002733018e-05,2.195989434523824,14.399999999999975
DQN Agressivo,peak_cool_day,57.82494159947331,,,,,57.82494159947331,211.39315563722363,609.9321217846785,1.0083813742022016,,-0.9404415037056044,21.666666666666668,1.972284841064485,6.797794592193895,6.467324469674785,0.0,0.0,68.0,39.0,1.927498053315777,0.0,32.0,21.36709531279453,0.0,3.414592636227246,2.7700472814665704,1.6666666666666667,80.0,22.21969177239941,2.3786021313255112,88.61495358626753,0.0827094222659045,0.0045167615349134,0.0547370955159318,0.0164052552517555,2.0861240621942118e-10,1.6571846273210313e-05,2.195989434523824,14.399999999999975
DQN Equilibrado,peak_cool_day,62.33086398651947,,,,,62.33086398651947,217.56623255716784,713.923113705221,0.0399940960607523,,-1.4428042463870985,13.666666666666666,1.7164842649854877,6.797794592193895,6.467324469674785,0.0,0.0,71.33333333333334,21.333333333333336,2.077695466217316,0.0,28.666666666666668,20.429979048467672,0.0,3.85452064741894,3.1731554948132747,2.625,126.0,21.92257116108976,1.839498887073264,88.2204233032927,0.0889147033689794,0.0048556319241387,0.0588437504401684,0.0161855085654499,8.278322355244537e-11,1.674374220547853e-05,2.195989434523824,14.399999999999975
DQN Passivo,peak_cool_day,56.15336459073211,,,,,56.15336459073211,175.5121927129071,601.2247996364495,0.0,,-1.3407494125993245,2.666666666666667,1.5345030049367798,6.797794592193895,6.467324469674785,0.0,0.0,81.33333333333333,10.333333333333334,1.8717788196910703,0.0,18.666666666666668,14.384529863753231,0.0,3.712719608245098,3.0706867737705315,1.25,60.0,22.12822118030893,1.2383425014011853,87.40385102005689,0.0779332487844488,0.0042559347029725,0.0515762239233866,0.0106616370648774,1.3974906670492283e-10,1.4816856494656316e-05,2.195989434523824,14.399999999999975
Termostato zm=1 °C,typical_cool_day,35.64842781572837,,,,,35.88330623009266,55.23806982106151,528.4767035176886,1.3867041169182244,29.5,1.0255279608423975,11.0,1.0436151637582236,2.7303920917820506,2.3864701940890827,0.0,0.0,84.33333333333334,50.0,1.1961102076697552,15.666666666666668,15.666666666666668,1.3251277137058026,0.0,2.7823984272760285,2.2531456616909,1.9583333333333333,94.0,24.86934850666617,10.579285926505577,87.77628748905546,0.0635974337211301,0.003473055784423,0.0420887809760593,0.0107845425206336,2.77586736309874e-10,1.496476431687673e-05,10.51657142857141,19.430312500000014
Termostato zm=0 (baseline),typical_cool_day,35.64842781572837,,,,,35.88330623009266,55.23806982106151,528.4767035176886,1.3867041169182244,29.5,1.0255279608423975,11.0,1.0436151637582236,2.7303920917820506,2.3864701940890827,0.0,0.0,84.33333333333334,50.0,1.1961102076697552,15.666666666666668,15.666666666666668,1.3251277137058026,0.0,2.7823984272760285,2.2531456616909,1.9583333333333333,94.0,24.86934850666617,10.579285926505577,87.77628748905546,0.0635974337211301,0.003473055784423,0.0420887809760593,0.0107845425206336,2.77586736309874e-10,1.541732913917965e-05,10.51657142857141,19.430312500000014
DQN Agressivo,typical_cool_day,39.612297198149136,,,,,39.612297198149136,102.15199804800814,535.9048265214112,1.0266426584120154,,-0.7449893820348841,35.333333333333336,1.4340175346583044,4.507821132593449,3.807648318186824,0.0,0.0,77.66666666666666,56.99999999999999,1.320409906604971,0.0,22.33333333333333,10.30510509283612,0.0,5.05600405805458,4.158742937530688,2.458333333333333,118.0,22.835734137095333,1.1613112651165327,88.66958646191624,0.1218633560880212,0.0066549578354031,0.0806491686821136,0.0167303556206252,5.769932043025722e-10,1.693627072705163e-05,10.51657142857141,19.430312500000014
DQN Equilibrado,typical_cool_day,35.321139096311576,,,,,35.321139096311576,59.94746953186669,551.8788021580948,4.067318299636099,,-1.30887793464946,10.0,0.7955672115186141,4.067318299636099,3.568788594392342,0.0,0.0,91.66666666666666,51.33333333333333,1.1773713032103856,0.0,8.333333333333332,3.0960900753537377,0.0,5.282571160324737,4.465357511078125,2.708333333333333,130.0,22.83062770956144,0.2679553289419866,88.03329372212463,0.1152936787386704,0.0062961877607463,0.0763013562624116,0.0165893066764804,1.6169300778633376e-10,1.4508587342721445e-05,10.51657142857141,19.430312500000014
DQN Passivo,typical_cool_day,31.81011846962079,,,,,31.81011846962079,39.335079959847455,498.3002859310175,3.925139325717112,,-1.2944339481399258,5.0,0.4329885796214768,3.925139325717112,1.875301531542368,0.0,0.0,97.66666666666669,51.0,1.060337282320693,0.0,2.333333333333333,0.2449325056156908,0.0,5.221718708516933,4.429978175621002,2.0416666666666665,98.0,22.939662717679308,0.0196494200838685,87.63254342034905,0.1099682886637243,0.0060053682172213,0.0727770131894993,0.0133689545101377,1.9771116209921966e-10,1.8091383907530044e-05,10.51657142857141,19.430312500000014
