kp,ki,periodo,conf_larga,conf_estreita,desvio,kwh,trocas_h,tdis_tot
0.2,0.0,peak_cool_day,84.0,64.33333333333333,1.312293211691382,2.152853179684291,2.9583333333333335,6.3190920655990315
0.2,0.05,peak_cool_day,84.0,78.66666666666666,1.2188552115523148,2.6760110166481654,2.4583333333333335,2.281691429912552
0.2,0.2,peak_cool_day,84.0,71.33333333333334,1.2944529570810106,2.7048243921748116,2.9166666666666665,2.265090842633815
0.5,0.0,peak_cool_day,84.0,63.33333333333333,1.3486867262672062,2.597689472214382,2.5833333333333335,2.8737960778687217
0.5,0.05,peak_cool_day,82.66666666666667,63.66666666666667,1.4297728060212647,2.9301489929980677,2.9583333333333335,1.7273017554065178
0.5,0.2,peak_cool_day,80.0,59.66666666666667,1.508191173405051,3.0132916282970945,2.7916666666666665,1.6703065934639807
1.3,0.05,peak_cool_day,75.0,49.666666666666664,1.6765580121448258,3.2134583404602868,2.4583333333333335,1.7835356957955173
1.3,0.0,peak_cool_day,74.66666666666667,50.66666666666667,1.6763787861878179,3.1032189094025635,2.0833333333333335,2.1523143109974763
3.0,0.05,peak_cool_day,71.33333333333334,44.666666666666664,1.777000345388736,3.275776006382296,1.9583333333333333,2.0761719236649214
3.0,0.0,peak_cool_day,71.0,43.666666666666664,1.810986519829418,3.2850110034798465,1.875,2.2032175932268894
3.0,0.2,peak_cool_day,71.0,43.666666666666664,1.7994851100835307,3.3222296104692473,2.0,2.020252951341083
1.3,0.2,peak_cool_day,70.66666666666667,42.66666666666667,1.794001082098241,3.3749772252129118,2.25,1.786443671296521
6.0,0.05,peak_cool_day,69.66666666666667,42.0,1.8421203330615048,3.329882542419049,1.7916666666666667,2.152377192926384
6.0,0.0,peak_cool_day,69.33333333333334,41.0,1.8619658449011247,3.3537759885261873,1.7916666666666667,2.1556012779366793
6.0,0.2,peak_cool_day,69.33333333333334,41.333333333333336,1.8557530999519918,3.3583492396061048,1.7916666666666667,2.144561442839518
