eixo,variante,seed,conf_larga,conf_estreita,desvio,energia,trocas_h,violacoes_dmin_pct,mediana_dwell_min,q_absoluto,q_faixa_entre_acoes
B,B = 0.0,0,86.5,83.83333333333334,0.7960918740212282,11.462332444444447,1.1898148148148149,82.87937743190662,12.0,134.6015625,30.597633361816406
B,B = 0.0,1,86.5,81.5,0.9497830735322104,11.402868763285024,1.0416666666666667,84.88888888888889,12.0,155.5822296142578,29.490747451782227
B,B = 10.0,0,86.5,68.33333333333334,1.0799170356115761,10.878730211699166,1.1944444444444444,82.55813953488372,12.0,357.6803894042969,39.143795013427734
B,B = 10.0,1,86.5,72.16666666666666,1.0440563328683141,10.540972716725204,1.148148148148148,82.66129032258065,12.0,354.7992248535156,39.2254638671875
k,k = 0.6,0,86.5,68.33333333333334,1.0799170356115761,10.878730211699166,1.1944444444444444,82.55813953488372,12.0,342.0877380371094,41.397315979003906
k,k = 0.6,1,86.5,72.16666666666666,1.0440563328683141,10.540972716725204,1.148148148148148,82.66129032258065,12.0,359.61346435546875,38.439064025878906
k,k = 1.0,0,86.5,83.83333333333334,0.8538840671400311,11.105550357487923,0.7962962962962963,69.18604651162791,12.0,450.4041748046875,56.289363861083984
k,k = 1.0,1,86.5,75.66666666666667,1.0346321255765347,11.493480086956522,0.9166666666666666,72.22222222222221,12.0,371.0202331542969,43.371891021728516
k,k = 4.0,0,86.33333333333334,62.0,1.1284296780447485,10.875464796657383,1.115740740740741,81.32780082987551,12.0,669.9017944335938,121.32632446289062
k,k = 4.0,1,86.5,80.66666666666666,1.0114511084062177,11.05741309178744,0.6898148148148148,57.14285714285714,12.0,613.03662109375,122.66386413574219
rho,rho = -5.0,0,86.5,68.33333333333334,1.0799170356115761,10.878730211699166,1.1944444444444444,82.55813953488372,12.0,360.166259765625,38.76364517211914
rho,rho = -5.0,1,86.5,72.16666666666666,1.0440563328683141,10.540972716725204,1.148148148148148,82.66129032258065,12.0,347.2532043457031,40.33576965332031
rho,rho = -20.0,0,85.66666666666666,58.33333333333333,1.2384625468769546,11.006444222222221,1.1666666666666667,80.55555555555556,12.0,341.9571838378906,36.47648239135742
rho,rho = -20.0,1,86.5,78.0,1.0362654335370318,12.178728222222224,1.2916666666666667,86.28158844765343,12.0,333.9234619140625,32.016990661621094
frio,frio = -2.0,0,86.5,68.33333333333334,1.0799170356115761,10.878730211699166,1.1944444444444444,82.55813953488372,12.0,363.60186767578125,39.80293273925781
frio,frio = -2.0,1,86.5,72.16666666666666,1.0440563328683141,10.540972716725204,1.148148148148148,82.66129032258065,12.0,353.1123962402344,39.68256378173828
frio,frio = -10.0,0,54.166666666666664,10.666666666666668,2.10616681845957,8.727003111111111,0.9675925925925927,81.3397129186603,12.0,381.6138916015625,40.756282806396484
frio,frio = -10.0,1,28.666666666666664,7.500000000000001,2.5425251513449822,7.8152266666666685,0.8842592592592592,81.67539267015707,12.0,392.7414855957031,36.92915725708008
