tolerancia,seed,passos,na_tolerancia_pct,energia_kwh,controlador
2.0,-1,0,86.5,10.468699774628934,PI sintonizado
2.0,0,25000,14.0,0.0,DQN
2.0,0,50000,14.0,1.4367826183844012,DQN
2.0,0,75000,14.0,2.544302553389043,DQN
2.0,0,100000,14.0,4.426538263318665,DQN
2.0,0,125000,14.0,5.388542154589372,DQN
2.0,0,150000,23.833333333333336,7.149799758454106,DQN
2.0,0,175000,66.5,8.319252154589371,DQN
2.0,0,200000,86.5,11.983347555555559,DQN
2.0,0,225000,86.5,12.648774463768117,DQN
2.0,0,250000,86.5,11.751156038647343,DQN
2.0,0,275000,86.5,11.32075225120773,DQN
2.0,0,300000,86.5,11.292436212560387,DQN
2.0,0,325000,86.5,11.150856019323673,DQN
2.0,0,350000,86.5,11.05741309178744,DQN
2.0,0,375000,86.5,10.927159314009664,DQN
2.0,0,400000,86.5,10.847874405797102,DQN
2.0,1,25000,14.0,0.22652830917874395,DQN
2.0,1,50000,14.0,0.0,DQN
2.0,1,75000,14.0,0.6229528502415459,DQN
2.0,1,100000,14.0,1.2697258778410239,DQN
2.0,1,125000,14.0,3.1429619777158777,DQN
2.0,1,150000,59.5,7.403965783348809,DQN
2.0,1,175000,79.16666666666666,8.71738827793253,DQN
2.0,1,200000,85.83333333333334,9.79624512534819,DQN
2.0,1,225000,86.16666666666666,10.29621645063448,DQN
2.0,1,250000,86.33333333333334,10.442253067780875,DQN
2.0,1,275000,86.5,10.482707931909626,DQN
2.0,1,300000,86.5,10.762626565769112,DQN
2.0,1,325000,86.5,10.598811577839678,DQN
2.0,1,350000,86.5,10.433363882389353,DQN
2.0,1,375000,86.5,10.580615170831484,DQN
2.0,1,400000,86.5,10.832241428471468,DQN
2.0,2,25000,14.0,0.0,DQN
2.0,2,50000,14.0,4.579744596100279,DQN
2.0,2,75000,14.0,3.5919565459610032,DQN
2.0,2,100000,14.166666666666666,5.482269031259673,DQN
2.0,2,125000,15.0,5.937873304347826,DQN
2.0,2,150000,31.0,6.980913123491181,DQN
2.0,2,175000,50.16666666666667,7.320697699783349,DQN
2.0,2,200000,70.83333333333334,7.986116720519963,DQN
2.0,2,225000,80.5,8.43511128876509,DQN
2.0,2,250000,86.33333333333334,9.613019059114826,DQN
2.0,2,275000,75.83333333333333,11.618528130609718,DQN
2.0,2,300000,84.16666666666666,11.579705974001858,DQN
2.0,2,325000,86.5,11.100778434540391,DQN
2.0,2,350000,86.5,10.942224393067162,DQN
2.0,2,375000,86.5,10.882358450634477,DQN
2.0,2,400000,86.5,10.718543462705046,DQN
0.5,-1,0,79.83333333333334,10.160472989598052,PI sintonizado
0.5,0,25000,3.666666666666667,0.0,DQN
0.5,0,50000,18.0,9.47171492753623,DQN
0.5,0,75000,30.666666666666668,9.103606425120772,DQN
0.5,0,100000,18.999999999999996,7.928490821256038,DQN
0.5,0,125000,11.166666666666668,7.943792524591927,DQN
0.5,0,150000,33.33333333333333,9.417914454106281,DQN
0.5,0,175000,25.0,9.426409265700483,DQN
0.5,0,200000,41.66666666666667,10.05785692753623,DQN
0.5,0,225000,44.16666666666667,10.199437120772947,DQN
0.5,0,250000,67.0,10.542061188405798,DQN
0.5,0,275000,72.83333333333334,10.731778647342995,DQN
0.5,0,300000,78.5,11.065907903381644,DQN
0.5,0,325000,77.16666666666666,11.119708376811595,DQN
0.5,0,350000,76.5,11.162182434782611,DQN
0.5,0,375000,76.16666666666666,11.190498473429951,DQN
0.5,0,400000,73.33333333333334,11.391542347826086,DQN
0.5,1,25000,3.666666666666667,0.0,DQN
0.5,1,50000,3.666666666666667,0.2993297121634169,DQN
0.5,1,75000,3.666666666666667,1.8716270547818015,DQN
0.5,1,100000,3.666666666666667,4.355345905427045,DQN
0.5,1,125000,3.666666666666667,5.796293111111112,DQN
0.5,1,150000,3.666666666666667,7.880353555555555,DQN
0.5,1,175000,10.833333333333334,10.09466777777778,DQN
0.5,1,200000,47.333333333333336,12.374108888888891,DQN
0.5,1,225000,53.666666666666664,12.048474444444446,DQN
0.5,1,250000,60.0,11.657713111111113,DQN
0.5,1,275000,56.5,11.397205555555555,DQN
0.5,1,300000,53.33333333333333,11.266951777777779,DQN
0.5,1,325000,49.16666666666667,11.136698000000003,DQN
0.5,1,350000,46.0,11.006444222222225,DQN
0.5,1,375000,42.66666666666667,10.876190444444445,DQN
0.5,1,400000,43.66666666666667,10.927159314009664,DQN
0.5,2,25000,3.666666666666667,0.0,DQN
0.5,2,50000,3.666666666666667,5.777063444753947,DQN
0.5,2,75000,3.666666666666667,3.3824257474466113,DQN
0.5,2,100000,3.666666666666667,4.880407291698625,DQN
0.5,2,125000,3.666666666666667,5.486260094088518,DQN
0.5,2,150000,3.666666666666667,6.211545057257816,DQN
0.5,2,175000,3.666666666666667,7.109534193748066,DQN
0.5,2,200000,8.5,8.577882490869701,DQN
0.5,2,225000,8.833333333333336,11.331715842773134,DQN
0.5,2,250000,44.5,10.801448722376973,DQN
0.5,2,275000,50.83333333333334,10.607700763231199,DQN
0.5,2,300000,44.33333333333333,12.308982000000002,DQN
0.5,2,325000,67.16666666666666,11.433125121015166,DQN
0.5,2,350000,70.16666666666667,11.85309377777778,DQN
0.5,2,375000,74.0,10.444792835035594,DQN
0.5,2,400000,71.83333333333334,10.421753517796349,DQN
