tolerancia,controlador,seed,kp,ki,passos,na_tolerancia_pct,desvio_ideal,sigma,energia_kwh,custo_brl,trocas_h
2.0,PI sintonizado,-1,1.8,0.4,0,86.5,0.6994114239668116,1.1470668874169883,10.468699774628934,9.27918069318908,1.1342592592592593
2.0,Termostato (zm=1 °C),-1,,,0,77.66666666666667,1.7826519668657808,1.2960435599224087,8.116733322191273,7.391375794243269,0.20370370370370372
2.0,DQN,0,,,300000,86.5,1.0799170356115761,1.1605121527847477,10.878730211699166,9.53292205637883,1.1944444444444444
2.0,DQN,1,,,300000,86.5,1.0440563328683141,1.137616280517601,10.540972716725204,9.32989653252594,1.148148148148148
2.0,DQN,2,,,300000,86.5,1.3512423553419564,1.176654015473926,11.329720311358713,10.047972342680286,1.0740740740740742
1.0,PI sintonizado,-1,1.8,0.4,0,83.83333333333334,0.6994114239668116,1.1470668874169883,10.468699774628934,9.27918069318908,1.1342592592592593
1.0,Termostato (zm=1 °C),-1,,,0,72.5,1.1397234613587448,1.2787764576524743,9.590342565769113,8.541527536737853,0.21759259259259256
1.0,DQN,0,,,300000,83.83333333333334,0.8452191375958988,1.172405052741764,10.881853652173913,9.63447551768116,0.7407407407407408
1.0,DQN,1,,,300000,83.83333333333334,0.8418960096155286,1.145578054369858,11.592586222222224,10.227526631111111,1.1944444444444444
1.0,DQN,2,,,300000,74.83333333333333,1.0411120580648052,1.1595541765114166,10.620218187558034,9.386979773444756,1.1388888888888886
0.5,PI sintonizado,-1,1.3,0.0,0,79.83333333333334,0.8260575162944434,1.1587590083957195,10.160472989598052,9.04337608129937,1.0833333333333333
0.5,Termostato (zm=1 °C),-1,,,0,63.166666666666664,0.9511775377355198,1.2563924556434207,9.970582006190035,8.931926046177656,0.21759259259259256
0.5,DQN,0,,,300000,69.16666666666667,0.8985122824769656,1.139291038095642,10.505747249148872,9.360058240544724,1.1712962962962963
0.5,DQN,1,,,300000,69.16666666666667,0.8528910110166863,1.1723796389855718,11.592586222222224,10.16500481777778,1.2129629629629628
0.5,DQN,2,,,300000,76.16666666666667,0.8203665983759889,1.1294974058581022,10.12550780872795,9.07023451439183,1.1574074074074074
