controlador,cenario,start_temp,occupancy,entrada_h,acomodacao_h,overshoot_c,taxa_c_por_h,saturacao_pct,energia_transitorio_kwh
DQN Agressivo,R002,29.555212774656482,29,1.8,1.8,0.0,1.8824465650505848,100.0,5.275278
DQN Agressivo,R004,26.171248810982227,9,0.0,0.0,0.0,,100.0,0.586142
DQN Agressivo,R005,27.436852748248562,28,0.4,0.4,0.0,2.6972915737241365,100.0,1.172284
DQN Agressivo,R007,27.343036702706332,6,0.4,0.4,0.0,2.82598584961546,100.0,1.172284
DQN Agressivo,R009,27.856709497994373,9,0.6000000000000001,0.6000000000000001,0.0,2.5115714257739317,100.0,1.758426
DQN Agressivo,R010,28.47677877661113,35,0.8,0.8,0.0,2.8252736769646214,100.0,2.344568
DQN Agressivo,R016,30.53061237435802,30,2.4000000000000004,2.4000000000000004,0.0,1.831041300122269,100.0,7.033703999999999
DQN Agressivo,R017,31.84380213931172,29,2.8000000000000003,2.8000000000000003,0.0,2.004963278346805,100.0,8.205988
DQN Agressivo,R018,30.62937239568597,32,1.6,1.6,0.0,2.8522718152960946,100.0,4.689136
DQN Agressivo,R027,26.48609261335847,1,0.0,0.0,0.0,,100.0,0.586142
DQN Agressivo,R035,30.25420509193806,21,1.4000000000000001,1.4000000000000001,0.0,2.913471151381532,100.0,4.102994000000001
DQN Agressivo,R036,30.65665695565702,23,1.4000000000000001,1.4000000000000001,0.0,2.9265120182510325,100.0,4.102994000000001
DQN Agressivo,R037,28.75903264293315,17,1.2000000000000002,1.2000000000000002,0.0,2.0785578687860524,100.0,3.5168520000000005
DQN Agressivo,R040,26.506964279407548,35,0.2,0.2,0.0,1.6808082344615194,100.0,0.586142
DQN Agressivo,R041,26.786954090659687,4,0.2,0.2,0.0,2.8422873387171954,100.0,0.586142
DQN Agressivo,R047,30.790011539118083,40,1.6,1.6,0.0,2.904619742315908,100.0,4.689136
DQN Agressivo,R052,29.260133557681602,21,1.0,1.0,0.0,2.8985991397724646,100.0,2.9307100000000004
DQN Agressivo,R057,31.016829206747424,40,1.6,1.6,0.0,2.864785288135532,100.0,4.689136
DQN Agressivo,R060,31.240852614844812,34,1.6,1.6,0.0,2.9183531693876796,100.0,4.689136
DQN Agressivo,R064,30.920181401697484,0,1.6,1.6,0.0,2.9590648587527824,100.0,4.689136
DQN Agressivo,R066,29.30371533543771,12,1.0,1.0,0.0,2.875473425242724,100.0,2.9307100000000004
DQN Agressivo,R067,28.020639507804233,2,0.6000000000000001,0.6000000000000001,0.0,2.7576297873076303,100.0,1.758426
DQN Agressivo,R068,27.391926107987587,1,0.4,0.4,0.0,2.544258465835174,100.0,1.172284
DQN Agressivo,R069,29.05817321293346,17,1.4000000000000001,1.4000000000000001,0.0,2.1312255387048014,100.0,4.102994000000001
DQN Agressivo,R070,32.61804447646341,19,2.6,2.6,0.0,2.5238462984134933,100.0,7.619845999999999
DQN Agressivo,R072,30.66064866071436,3,1.8,1.8,0.0,2.367469704575446,100.0,5.275278
DQN Agressivo,R074,28.96883538969567,30,1.0,1.0,0.0,2.9028779032842955,100.0,2.9307100000000004
DQN Agressivo,R076,29.192222312887708,15,1.2000000000000002,1.2000000000000002,0.0,2.4116214293810883,100.0,3.5168520000000005
DQN Agressivo,R081,32.775718011409566,5,2.6,2.6,0.0,2.439349967823853,100.0,7.619845999999999
DQN Agressivo,R082,28.29367602730619,22,1.0,1.0,0.0,2.0454749814852953,100.0,2.9307100000000004
DQN Agressivo,R084,30.91998551776868,30,1.8,1.8,0.0,2.537115879415387,100.0,5.275278
DQN Agressivo,R085,28.062087397422893,40,0.6000000000000001,0.6000000000000001,0.0,2.7589908023647065,100.0,1.758426
DQN Agressivo,R086,32.659968726790204,26,3.4000000000000004,3.4000000000000004,0.0,1.9411288431048708,100.0,9.964414000000001
DQN Agressivo,R087,28.878681618294404,12,1.2000000000000002,1.2000000000000002,0.0,2.1799811892521896,100.0,3.5168520000000005
DQN Agressivo,R094,32.986567039989566,31,3.6,3.6,0.0,1.8446293503599303,100.0,10.550556000000002
DQN Agressivo,R096,27.829736926905802,34,0.6000000000000001,0.6000000000000001,0.0,2.8827082651009834,100.0,1.758426
DQN Agressivo,R097,28.889760198869006,31,1.2000000000000002,1.2000000000000002,0.0,2.361072794708718,100.0,3.5168520000000005
DQN Agressivo,R100,28.994998804445792,37,1.6,1.6,0.0,1.827370394330854,100.0,4.689136
DQN Agressivo,R101,26.53882646688087,45,0.0,0.0,0.0,,100.0,0.586142
DQN Agressivo,R103,32.679949550163656,36,2.2,2.2,0.0,2.9697690482039714,100.0,6.447562
DQN Agressivo,R105,26.872099278752515,15,0.4,0.4,0.0,1.9957938573900513,100.0,1.172284
DQN Agressivo,R110,27.774455842445732,22,0.8,0.8,0.0,2.0000098177095404,100.0,2.344568
DQN Agressivo,R112,26.251655379624534,13,0.0,0.0,0.0,,100.0,0.586142
DQN Agressivo,R113,31.391478120742825,38,1.8,1.8,0.0,2.9067684128631455,100.0,5.275278
DQN Agressivo,R114,29.76311994803745,45,2.0,2.0,0.0,1.9108246974939664,100.0,5.86142
DQN Agressivo,R117,29.90084550662727,4,1.2000000000000002,1.2000000000000002,0.0,2.9467594025411787,100.0,3.5168520000000005
DQN Agressivo,R118,26.209501214713725,15,0.0,0.0,0.0,,100.0,0.586142
DQN Agressivo,R120,30.317648202981793,33,2.4000000000000004,2.4000000000000004,0.0,1.7908872755215892,100.0,7.033703999999999
DQN Equilibrado,R002,29.555212774656482,29,1.8,1.8,0.0,1.8824465650505848,100.0,5.275278
DQN Equilibrado,R004,26.171248810982227,9,0.0,0.0,0.0,,100.0,0.586142
DQN Equilibrado,R005,27.436852748248562,28,0.4,0.4,0.0,2.6972915737241365,100.0,1.172284
DQN Equilibrado,R007,27.343036702706332,6,0.4,0.4,0.0,2.82598584961546,100.0,1.172284
DQN Equilibrado,R009,27.856709497994373,9,0.6000000000000001,0.6000000000000001,0.0,2.5115714257739317,100.0,1.758426
DQN Equilibrado,R010,28.47677877661113,35,0.8,0.8,0.0,2.8252736769646214,100.0,2.344568
DQN Equilibrado,R016,30.53061237435802,30,2.4000000000000004,2.4000000000000004,0.0,1.831041300122269,100.0,7.033703999999999
DQN Equilibrado,R017,31.84380213931172,29,2.8000000000000003,2.8000000000000003,0.0,2.004963278346805,100.0,8.205988
DQN Equilibrado,R018,30.62937239568597,32,1.6,1.6,0.0,2.8522718152960946,100.0,4.689136
DQN Equilibrado,R027,26.48609261335847,1,0.0,0.0,0.0,,100.0,0.586142
DQN Equilibrado,R035,30.25420509193806,21,1.4000000000000001,1.4000000000000001,0.0,2.913471151381532,100.0,4.102994000000001
DQN Equilibrado,R036,30.65665695565702,23,1.4000000000000001,1.4000000000000001,0.0,2.9265120182510325,100.0,4.102994000000001
DQN Equilibrado,R037,28.75903264293315,17,1.2000000000000002,1.2000000000000002,0.0,2.0785578687860524,100.0,3.5168520000000005
DQN Equilibrado,R040,26.506964279407548,35,0.2,0.2,0.0,1.6808082344615194,100.0,0.586142
DQN Equilibrado,R041,26.786954090659687,4,0.2,0.2,0.0,2.8422873387171954,100.0,0.586142
DQN Equilibrado,R047,30.790011539118083,40,1.6,1.6,0.0,2.904619742315908,100.0,4.689136
DQN Equilibrado,R052,29.260133557681602,21,1.0,1.0,0.0,2.8985991397724646,100.0,2.9307100000000004
DQN Equilibrado,R057,31.016829206747424,40,1.6,1.6,0.0,2.864785288135532,100.0,4.689136
DQN Equilibrado,R060,31.240852614844812,34,1.6,1.6,0.0,2.9183531693876796,100.0,4.689136
DQN Equilibrado,R064,30.920181401697484,0,1.6,1.6,0.0,2.9590648587527824,100.0,4.689136
DQN Equilibrado,R066,29.30371533543771,12,1.0,1.0,0.0,2.875473425242724,100.0,2.9307100000000004
DQN Equilibrado,R067,28.020639507804233,2,0.6000000000000001,0.6000000000000001,0.0,2.7576297873076303,100.0,1.758426
DQN Equilibrado,R068,27.391926107987587,1,0.4,0.4,0.0,2.544258465835174,100.0,1.172284
DQN Equilibrado,R069,29.05817321293346,17,1.4000000000000001,1.4000000000000001,0.0,2.1312255387048014,100.0,4.102994000000001
DQN Equilibrado,R070,32.61804447646341,19,2.6,2.6,0.0,2.5238462984134933,100.0,7.619845999999999
DQN Equilibrado,R072,30.66064866071436,3,1.8,1.8,0.0,2.367469704575446,100.0,5.275278
DQN Equilibrado,R074,28.96883538969567,30,1.0,1.0,0.0,2.9028779032842955,100.0,2.9307100000000004
DQN Equilibrado,R076,29.192222312887708,15,1.2000000000000002,1.2000000000000002,0.0,2.4116214293810883,100.0,3.5168520000000005
DQN Equilibrado,R081,32.775718011409566,5,2.6,2.6,0.0,2.439349967823853,100.0,7.619845999999999
DQN Equilibrado,R082,28.29367602730619,22,1.0,1.0,0.0,2.0454749814852953,100.0,2.9307100000000004
DQN Equilibrado,R084,30.91998551776868,30,1.8,1.8,0.0,2.537115879415387,100.0,5.275278
DQN Equilibrado,R085,28.062087397422893,40,0.6000000000000001,0.6000000000000001,0.0,2.7589908023647065,100.0,1.758426
DQN Equilibrado,R086,32.659968726790204,26,3.4000000000000004,3.4000000000000004,0.0,1.9411288431048708,100.0,9.964414000000001
DQN Equilibrado,R087,28.878681618294404,12,1.2000000000000002,1.2000000000000002,0.0,2.1799811892521896,100.0,3.5168520000000005
DQN Equilibrado,R094,32.986567039989566,31,3.6,3.6,0.0,1.8446293503599303,100.0,10.550556000000002
DQN Equilibrado,R096,27.829736926905802,34,0.6000000000000001,0.6000000000000001,0.0,2.8827082651009834,100.0,1.758426
DQN Equilibrado,R097,28.889760198869006,31,1.2000000000000002,1.2000000000000002,0.0,2.361072794708718,100.0,3.5168520000000005
DQN Equilibrado,R100,28.994998804445792,37,1.6,1.6,0.0,1.827370394330854,100.0,4.689136
DQN Equilibrado,R101,26.53882646688087,45,0.0,0.0,0.0,,100.0,0.586142
DQN Equilibrado,R103,32.679949550163656,36,2.2,2.2,0.0,2.9697690482039714,100.0,6.447562
DQN Equilibrado,R105,26.872099278752515,15,0.4,0.4,0.0,1.9957938573900513,100.0,1.172284
DQN Equilibrado,R110,27.774455842445732,22,0.8,0.8,0.0,2.0000098177095404,100.0,2.344568
DQN Equilibrado,R112,26.251655379624534,13,0.0,0.0,0.0,,100.0,0.586142
DQN Equilibrado,R113,31.391478120742825,38,1.8,1.8,0.0,2.9067684128631455,100.0,5.275278
DQN Equilibrado,R114,29.76311994803745,45,2.0,2.0,0.0,1.9108246974939664,100.0,5.86142
DQN Equilibrado,R117,29.90084550662727,4,1.2000000000000002,1.2000000000000002,0.0,2.9467594025411787,100.0,3.5168520000000005
DQN Equilibrado,R118,26.209501214713725,15,0.0,0.0,0.0,,100.0,0.586142
DQN Equilibrado,R120,30.317648202981793,33,2.4000000000000004,2.4000000000000004,0.0,1.7908872755215892,100.0,7.033703999999999
DQN Passivo,R002,29.555212774656482,29,1.8,1.8,0.0,1.8824465650505848,100.0,5.275278
DQN Passivo,R004,26.171248810982227,9,0.0,0.0,0.0,,100.0,0.586142
DQN Passivo,R005,27.436852748248562,28,0.4,0.4,0.0,2.6972915737241365,100.0,1.172284
DQN Passivo,R007,27.343036702706332,6,0.4,0.4,0.0,2.82598584961546,100.0,1.172284
DQN Passivo,R009,27.856709497994373,9,0.6000000000000001,0.6000000000000001,0.0,2.5115714257739317,100.0,1.758426
DQN Passivo,R010,28.47677877661113,35,0.8,0.8,0.0,2.8252736769646214,100.0,2.344568
DQN Passivo,R016,30.53061237435802,30,2.4000000000000004,2.4000000000000004,0.0,1.831041300122269,100.0,7.033703999999999
DQN Passivo,R017,31.84380213931172,29,2.8000000000000003,2.8000000000000003,0.0,2.004963278346805,100.0,8.205988
DQN Passivo,R018,30.62937239568597,32,1.6,1.6,0.0,2.8522718152960946,100.0,4.689136
DQN Passivo,R027,26.48609261335847,1,0.0,0.0,0.0,,100.0,0.586142
DQN Passivo,R035,30.25420509193806,21,1.4000000000000001,1.4000000000000001,0.0,2.913471151381532,100.0,4.102994000000001
DQN Passivo,R036,30.65665695565702,23,1.4000000000000001,1.4000000000000001,0.0,2.9265120182510325,100.0,4.102994000000001
DQN Passivo,R037,28.75903264293315,17,1.2000000000000002,1.2000000000000002,0.0,2.0785578687860524,100.0,3.5168520000000005
